"scan_date","site_domain","competitor_name","run_time_domain","monthly_visitors","contacts_json","got_blocked","already_working","is_running_ads","ad_evidence"
"2025-12-09","0k0a.blogspot.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": []}","false","false","false","Heuristic score: 1.70"
"2025-12-09","1-tap-vip-panel-ff.latestmodapks.com","PropellerAds","http://madurird.com/","0","{}","true","false","false","Blocked"
"2025-12-09","100soccerstreams-com.mutawakkil.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": [""https://www.facebook.com/sharer"", ""https://twitter.com/home"", ""https://www.linkedin.com/shareArticle""]}","false","false","false","Heuristic score: 1.70"
"2025-12-09","100soccerstreams.com.cutestat.com","PropellerAds","http://madurird.com/","0","{}","true","false","false","Blocked"
"2025-12-09","100soccerstreams.com.siteindices.com","PropellerAds","http://madurird.com/","0","{""emails"": [""abuse@godaddy.com"", ""abuse@godaddy.com"", ""100soccerstreams.com@domainsbyproxy.com"", ""100soccerstreams.com@domainsbyproxy.com"", ""100soccerstreams.com@domainsbyproxy.com""], ""socials"": []}","false","false","false","Heuristic score: 1.50"
"2025-12-09","100soccerstreams.net.updowntoday.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": []}","false","false","false","Heuristic score: 0.00"
"2025-12-09","12-labours-of-hercules-iv-mother-nature.en.softonic.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": [""https://www.facebook.com/sharer"", ""https://www.facebook.com/softonic.en"", ""https://www.instagram.com/Softonic"", ""https://www.linkedin.com/company""]}","false","false","true","Heuristic score: 2.90"
"2025-12-09","17mag.net","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": []}","false","false","false","Heuristic score: 0.00"
"2025-12-09","1keys.net","PropellerAds","http://madurird.com/","0","{""emails"": [""support@1keys.net""], ""socials"": []}","false","false","false","Heuristic score: 0.00"
"2025-12-09","1shortlink.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": [""https://www.facebook.com/1ShortLink""]}","false","false","false","Heuristic score: 0.00"
"2025-12-09","21goal.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": []}","false","false","false","Heuristic score: 0.00"
"2025-12-09","247888.xyz","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": []}","false","false","false","Heuristic score: 0.50"
"2025-12-09","2kata-ru.livejournal.com","PropellerAds","http://madurird.com/","0","{""emails"": [], ""socials"": [""https://www.youtube.com/watch"", ""https://instagram.com/p""]}","false","false","false","Heuristic score: 1.20"
"2025-12-09","2sport1.tv","PropellerAds","http://madurird.com/","0","{""emails"": [""contact.2sporttv@gmail.com""], ""socials"": [""https://twitter.com/2sporttv"", ""https://www.facebook.com/news.2sporttv""]}","false","false","false","Heuristic score: 0.20"
